Date,02/13/2025,,,,
Race Series,The Digital Cup,,,,
Race #,1,,,,
Map,Vinewood Peak,,,,
Car,Banshee GTS,,,,
Division,2,,,,
Race Position,Discord Name,GTA Online Name,Qualifying Time,Best Lap,Total Time
1,rick.,killedbyrickk,07:03.827,02:25.413,49:05.172
2,Ztenbritt,Ztenbritt,07:02.667,02:25.325,49:05.172
3,KeroDion,KeroDion,07:02.010,02:26.215,49:16.503
4,Gorenc,Gorenc92,07:00.772,02:27.355,49:40.027
5,Kalev,Kalev10,07:03.908,02:27.916,49:52.065
6,L2,I2rs10I,07:05.272,02:27.860,49:57.655
7,Benjo,Benjo411,07:01.405,02:27.348,50:06.031
8,TurdleShell,TurdleShell,07:05.391,02:28.503,50:07.299
9,SteveJEWBZ,SteveJEVVBZ,07:09.064,02:28.616,50:25.050
DNF,Nebula,-Nebulas-,07:03.541,DNF,DNF
DNF,A1RWALK1NG,A1RWALK1NG,07:08.386,DNF,DNF
DNF,Prrevil,prrevil,07:17.933,DNF,DNF
DNF,S0ze-,S0ze47,07:27.316,DNF,DNF
DNF,beta,beta1hit,DNF,DNF,DNF
DNF,niksrof,niksrof,07:07.132,DNF,DNF
,,,,,
L2,https://www.youtube.com/watch?v=_ItNaMamn9g,,,,
A1RWALK1NG,https://www.youtube.com/watch?v=7ap1WxBvR94,,,,
